DN,objectClass,cn,name,groupType,displayName
"CN=DataEntry,OU=Departments,OU=Groups,DC=contoso,DC=com",group,DataEntry,DataEntry,-2147483646,DataEntry
"CN=ResearchandDevelopment,OU=Departments,OU=Groups,DC=contoso,DC=com",group,ResearchandDevelopment,ResearchandDevelopment,-2147483646,ResearchandDevelopment
"CN=StrategicSourcing,OU=Departments,OU=Groups,DC=contoso,DC=com",group,StrategicSourcing,StrategicSourcing,-2147483646,StrategicSourcing
"CN=Purchasing,OU=Departments,OU=Groups,DC=contoso,DC=com",group,Purchasing,Purchasing,-2147483646,Purchasing
"CN=Operations,OU=Departments,OU=Groups,DC=contoso,DC=com",group,Operations,Operations,-2147483646,Operations
"CN=PublicRelations,OU=Departments,OU=Groups,DC=contoso,DC=com",group,PublicRelations,PublicRelations,-2147483646,PublicRelations
"CN=CorporateCommunications,OU=Departments,OU=Groups,DC=contoso,DC=com",group,CorporateCommunications,CorporateCommunications,-2147483646,CorporateCommunications
"CN=Advertising,OU=Departments,OU=Groups,DC=contoso,DC=com",group,Advertising,Advertising,-2147483646,Advertising
"CN=MarketResearch,OU=Departments,OU=Groups,DC=contoso,DC=com",group,MarketResearch,MarketResearch,-2147483646,MarketResearch
"CN=StrategicMarketing,OU=Departments,OU=Groups,DC=contoso,DC=com",group,StrategicMarketing,StrategicMarketing,-2147483646,StrategicMarketing
"CN=Customerservice,OU=Departments,OU=Groups,DC=contoso,DC=com",group,Customerservice,Customerservice,-2147483646,Customerservice
"CN=Telesales,OU=Departments,OU=Groups,DC=contoso,DC=com",group,Telesales,Telesales,-2147483646,Telesales
"CN=AccountManagement,OU=Departments,OU=Groups,DC=contoso,DC=com",group,AccountManagement,AccountManagement,-2147483646,AccountManagement
"CN=Marketing,OU=Departments,OU=Groups,DC=contoso,DC=com",group,Marketing,Marketing,-2147483646,Marketing
"CN=Sales,OU=Departments,OU=Groups,DC=contoso,DC=com",group,Sales,Sales,-2147483646,Sales
"CN=Payroll,OU=Departments,OU=Groups,DC=contoso,DC=com",group,Payroll,Payroll,-2147483646,Payroll
"CN=Recruitment,OU=Departments,OU=Groups,DC=contoso,DC=com",group,Recruitment,Recruitment,-2147483646,Recruitment
"CN=Training,OU=Departments,OU=Groups,DC=contoso,DC=com",group,Training,Training,-2147483646,Training
"CN=HumanResource,OU=Departments,OU=Groups,DC=contoso,DC=com",group,HumanResource,HumanResource,-2147483646,HumanResource
"CN=Accounting,OU=Departments,OU=Groups,DC=contoso,DC=com",group,Accounting,Accounting,-2147483646,Accounting
"CN=Financial,OU=Departments,OU=Groups,DC=contoso,DC=com",group,Financial,Financial,-2147483646,Financial
"CN=grpContosoSecurity-3,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-3,grpContosoSecurity-3,-2147483646,grpContosoSecurity-3
"CN=grpContosoSecurity-137,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-137,grpContosoSecurity-137,-2147483646,grpContosoSecurity-137
"CN=grpContosoSecurity-306,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-306,grpContosoSecurity-306,-2147483646,grpContosoSecurity-306
"CN=grpContosoSecurity-95,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-95,grpContosoSecurity-95,-2147483646,grpContosoSecurity-95
"CN=grpContosoSecurity-198,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-198,grpContosoSecurity-198,-2147483646,grpContosoSecurity-198
"CN=grpContosoSecurity-8,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-8,grpContosoSecurity-8,-2147483646,grpContosoSecurity-8
"CN=grpContosoSecurity-134,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-134,grpContosoSecurity-134,-2147483646,grpContosoSecurity-134
"CN=grpContosoSecurity-17,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-17,grpContosoSecurity-17,-2147483646,grpContosoSecurity-17
"CN=grpContosoSecurity-353,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-353,grpContosoSecurity-353,-2147483646,grpContosoSecurity-353
"CN=grpContosoSecurity-163,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-163,grpContosoSecurity-163,-2147483646,grpContosoSecurity-163
"CN=grpContosoSecurity-341,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-341,grpContosoSecurity-341,-2147483646,grpContosoSecurity-341
"CN=grpContosoSecurity-314,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-314,grpContosoSecurity-314,-2147483646,grpContosoSecurity-314
"CN=grpContosoSecurity-228,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-228,grpContosoSecurity-228,-2147483646,grpContosoSecurity-228
"CN=grpContosoSecurity-195,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-195,grpContosoSecurity-195,-2147483646,grpContosoSecurity-195
"CN=grpContosoSecurity-150,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-150,grpContosoSecurity-150,-2147483646,grpContosoSecurity-150
"CN=grpContosoSecurity-366,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-366,grpContosoSecurity-366,-2147483646,grpContosoSecurity-366
"CN=grpContosoSecurity-286,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-286,grpContosoSecurity-286,-2147483646,grpContosoSecurity-286
"CN=grpContosoSecurity-131,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-131,grpContosoSecurity-131,-2147483646,grpContosoSecurity-131
"CN=grpContosoSecurity-346,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-346,grpContosoSecurity-346,-2147483646,grpContosoSecurity-346
"CN=grpContosoSecurity-222,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-222,grpContosoSecurity-222,-2147483646,grpContosoSecurity-222
"CN=grpContosoSecurity-100,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-100,grpContosoSecurity-100,-2147483646,grpContosoSecurity-100
"CN=grpContosoSecurity-4,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-4,grpContosoSecurity-4,-2147483646,grpContosoSecurity-4
"CN=grpContosoSecurity-106,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-106,grpContosoSecurity-106,-2147483646,grpContosoSecurity-106
"CN=grpContosoSecurity-301,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-301,grpContosoSecurity-301,-2147483646,grpContosoSecurity-301
"CN=grpContosoSecurity-298,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-298,grpContosoSecurity-298,-2147483646,grpContosoSecurity-298
"CN=grpContosoSecurity-109,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-109,grpContosoSecurity-109,-2147483646,grpContosoSecurity-109
"CN=grpContosoSecurity-270,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-270,grpContosoSecurity-270,-2147483646,grpContosoSecurity-270
"CN=grpContosoSecurity-259,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-259,grpContosoSecurity-259,-2147483646,grpContosoSecurity-259
"CN=grpContosoSecurity-237,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-237,grpContosoSecurity-237,-2147483646,grpContosoSecurity-237
"CN=grpContosoSecurity-25,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-25,grpContosoSecurity-25,-2147483646,grpContosoSecurity-25
"CN=grpContosoSecurity-24,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-24,grpContosoSecurity-24,-2147483646,grpContosoSecurity-24
"CN=grpContosoSecurity-378,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-378,grpContosoSecurity-378,-2147483646,grpContosoSecurity-378
"CN=grpContosoSecurity-98,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-98,grpContosoSecurity-98,-2147483646,grpContosoSecurity-98
"CN=grpContosoSecurity-12,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-12,grpContosoSecurity-12,-2147483646,grpContosoSecurity-12
"CN=grpContosoSecurity-85,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-85,grpContosoSecurity-85,-2147483646,grpContosoSecurity-85
"CN=grpContosoSecurity-159,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-159,grpContosoSecurity-159,-2147483646,grpContosoSecurity-159
"CN=grpContosoSecurity-119,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-119,grpContosoSecurity-119,-2147483646,grpContosoSecurity-119
"CN=grpContosoSecurity-87,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-87,grpContosoSecurity-87,-2147483646,grpContosoSecurity-87
"CN=grpContosoSecurity-238,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-238,grpContosoSecurity-238,-2147483646,grpContosoSecurity-238
"CN=grpContosoSecurity-321,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-321,grpContosoSecurity-321,-2147483646,grpContosoSecurity-321
"CN=grpContosoSecurity-59,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-59,grpContosoSecurity-59,-2147483646,grpContosoSecurity-59
"CN=grpContosoSecurity-120,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-120,grpContosoSecurity-120,-2147483646,grpContosoSecurity-120
"CN=grpContosoSecurity-326,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-326,grpContosoSecurity-326,-2147483646,grpContosoSecurity-326
"CN=grpContosoSecurity-217,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-217,grpContosoSecurity-217,-2147483646,grpContosoSecurity-217
"CN=grpContosoSecurity-50,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-50,grpContosoSecurity-50,-2147483646,grpContosoSecurity-50
"CN=grpContosoSecurity-305,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-305,grpContosoSecurity-305,-2147483646,grpContosoSecurity-305
"CN=grpContosoSecurity-317,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-317,grpContosoSecurity-317,-2147483646,grpContosoSecurity-317
"CN=grpContosoSecurity-23,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-23,grpContosoSecurity-23,-2147483646,grpContosoSecurity-23
"CN=grpContosoSecurity-149,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-149,grpContosoSecurity-149,-2147483646,grpContosoSecurity-149
"CN=grpContosoSecurity-304,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-304,grpContosoSecurity-304,-2147483646,grpContosoSecurity-304
"CN=grpContosoSecurity-374,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-374,grpContosoSecurity-374,-2147483646,grpContosoSecurity-374
"CN=grpContosoSecurity-278,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-278,grpContosoSecurity-278,-2147483646,grpContosoSecurity-278
"CN=grpContosoSecurity-46,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-46,grpContosoSecurity-46,-2147483646,grpContosoSecurity-46
"CN=grpContosoSecurity-230,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-230,grpContosoSecurity-230,-2147483646,grpContosoSecurity-230
"CN=grpContosoSecurity-232,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-232,grpContosoSecurity-232,-2147483646,grpContosoSecurity-232
"CN=grpContosoSecurity-104,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-104,grpContosoSecurity-104,-2147483646,grpContosoSecurity-104
"CN=grpContosoSecurity-53,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-53,grpContosoSecurity-53,-2147483646,grpContosoSecurity-53
"CN=grpContosoSecurity-294,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-294,grpContosoSecurity-294,-2147483646,grpContosoSecurity-294
"CN=grpContosoSecurity-393,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-393,grpContosoSecurity-393,-2147483646,grpContosoSecurity-393
"CN=grpContosoSecurity-48,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-48,grpContosoSecurity-48,-2147483646,grpContosoSecurity-48
"CN=grpContosoSecurity-173,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-173,grpContosoSecurity-173,-2147483646,grpContosoSecurity-173
"CN=grpContosoSecurity-266,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-266,grpContosoSecurity-266,-2147483646,grpContosoSecurity-266
"CN=grpContosoSecurity-42,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-42,grpContosoSecurity-42,-2147483646,grpContosoSecurity-42
"CN=grpContosoSecurity-236,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-236,grpContosoSecurity-236,-2147483646,grpContosoSecurity-236
"CN=grpContosoSecurity-315,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-315,grpContosoSecurity-315,-2147483646,grpContosoSecurity-315
"CN=grpContosoSecurity-184,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-184,grpContosoSecurity-184,-2147483646,grpContosoSecurity-184
"CN=grpContosoSecurity-218,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-218,grpContosoSecurity-218,-2147483646,grpContosoSecurity-218
"CN=grpContosoSecurity-262,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-262,grpContosoSecurity-262,-2147483646,grpContosoSecurity-262
"CN=grpContosoSecurity-226,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-226,grpContosoSecurity-226,-2147483646,grpContosoSecurity-226
"CN=grpContosoSecurity-147,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-147,grpContosoSecurity-147,-2147483646,grpContosoSecurity-147
"CN=grpContosoSecurity-152,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-152,grpContosoSecurity-152,-2147483646,grpContosoSecurity-152
"CN=grpContosoSecurity-19,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-19,grpContosoSecurity-19,-2147483646,grpContosoSecurity-19
"CN=grpContosoSecurity-340,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-340,grpContosoSecurity-340,-2147483646,grpContosoSecurity-340
"CN=grpContosoSecurity-391,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-391,grpContosoSecurity-391,-2147483646,grpContosoSecurity-391
"CN=grpContosoSecurity-233,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-233,grpContosoSecurity-233,-2147483646,grpContosoSecurity-233
"CN=grpContosoSecurity-153,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-153,grpContosoSecurity-153,-2147483646,grpContosoSecurity-153
"CN=grpContosoSecurity-129,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-129,grpContosoSecurity-129,-2147483646,grpContosoSecurity-129
"CN=grpContosoSecurity-196,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-196,grpContosoSecurity-196,-2147483646,grpContosoSecurity-196
"CN=grpContosoSecurity-348,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-348,grpContosoSecurity-348,-2147483646,grpContosoSecurity-348
"CN=grpContosoSecurity-105,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-105,grpContosoSecurity-105,-2147483646,grpContosoSecurity-105
"CN=grpContosoSecurity-58,OU=Security Groups,OU=Groups,DC=contoso,DC=com",group,grpContosoSecurity-58,grpContosoSecurity-58,-2147483646,grpContosoSecurity-58
"CN=Special Group,OU=Groups,OU=Tier 0,OU=Admin,DC=contoso,DC=com",group,Special Group,Special Group,-2147483646,
"CN=test_2_users,OU=Test,OU=Groups,DC=contoso,DC=com",group,test_2_users,test_2_users,-2147483646,test_2_users
"CN=test_3_users,OU=Test,OU=Groups,DC=contoso,DC=com",group,test_3_users,test_3_users,-2147483646,test_3_users
"CN=Organization Management,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,Organization Management,Organization Management,-2147483640,
"CN=Recipient Management,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,Recipient Management,Recipient Management,-2147483640,
"CN=View-Only Organization Management,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,View-Only Organization Management,View-Only Organization Management,-2147483640,
"CN=Public Folder Management,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,Public Folder Management,Public Folder Management,-2147483640,
"CN=UM Management,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,UM Management,UM Management,-2147483640,
"CN=Help Desk,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,Help Desk,Help Desk,-2147483640,
"CN=Records Management,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,Records Management,Records Management,-2147483640,
"CN=Discovery Management,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,Discovery Management,Discovery Management,-2147483640,
"CN=Server Management,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,Server Management,Server Management,-2147483640,
"CN=Delegated Setup,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,Delegated Setup,Delegated Setup,-2147483640,
"CN=Hygiene Management,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,Hygiene Management,Hygiene Management,-2147483640,
"CN=Compliance Management,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,Compliance Management,Compliance Management,-2147483640,
"CN=Exchange Servers,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,Exchange Servers,Exchange Servers,-2147483640,
"CN=Exchange Trusted Subsystem,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,Exchange Trusted Subsystem,Exchange Trusted Subsystem,-2147483640,
"CN=Managed Availability Servers,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,Managed Availability Servers,Managed Availability Servers,-2147483640,
"CN=Exchange Windows Permissions,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,Exchange Windows Permissions,Exchange Windows Permissions,-2147483640,
"CN=ExchangeLegacyInterop,OU=Microsoft Exchange Security Groups,DC=contoso,DC=com",group,ExchangeLegacyInterop,ExchangeLegacyInterop,-2147483640,
"CN=Exchange Install Domain Servers,CN=Microsoft Exchange System Objects,DC=contoso,DC=com",group,Exchange Install Domain Servers,Exchange Install Domain Servers,-2147483646,Exchange Install Domain Servers
"CN=APP.something1,OU=Test,OU=Groups,DC=contoso,DC=com",group,APP.something1,APP.something1,-2147483646,APP.something1
"CN=UG.something3,OU=Test,OU=Groups,DC=contoso,DC=com",group,UG.something3,UG.something3,-2147483646,UG.something3
"CN=SP.something5,OU=Test,OU=Groups,DC=contoso,DC=com",group,SP.something5,SP.something5,-2147483646,SP.something5
"CN=APP.erferf,OU=Test,OU=Groups,DC=contoso,DC=com",group,APP.erferf,APP.erferf,-2147483646,APP.erferf
"CN=OPS.something9,OU=Test,OU=Groups,DC=contoso,DC=com",group,OPS.something9,OPS.something9,-2147483646,OPS.something9
"CN=PIM.something55,OU=Test,OU=Groups,DC=contoso,DC=com",group,PIM.something55,PIM.something55,-2147483646,PIM.something55
"CN=APP.corp-app11,OU=Test,OU=Groups,DC=contoso,DC=com",group,APP.corp-app11,APP.corp-app11,-2147483646,APP.corp-app11
"CN=APP.CORP-CL2,OU=Test,OU=Groups,DC=contoso,DC=com",group,APP.CORP-CL2,APP.CORP-CL2,-2147483646,APP.CORP-CL2
"CN=DCWACAdmins,CN=Users,DC=contoso,DC=com",group,DCWACAdmins,DCWACAdmins,-2147483646,
"CN=DCWACHyperVAdmins,CN=Users,DC=contoso,DC=com",group,DCWACHyperVAdmins,DCWACHyperVAdmins,-2147483646,
"CN=DCWACReaders,CN=Users,DC=contoso,DC=com",group,DCWACReaders,DCWACReaders,-2147483646,
"CN=wd,OU=Test,OU=Groups,DC=contoso,DC=com",group,wd,wd,2,wd
"CN=APP.Client1.something,OU=Test,OU=Groups,DC=contoso,DC=com",group,APP.Client1.something,APP.Client1.something,-2147483646,APP.Client1.something
"CN=APP.DC1.admin,OU=Test,OU=Groups,DC=contoso,DC=com",group,APP.DC1.admin,APP.DC1.admin,-2147483646,APP.DC1.admin
"CN=APP.BogusComputer,OU=Test,OU=Groups,DC=contoso,DC=com",group,APP.BogusComputer,APP.BogusComputer,-2147483646,APP.BogusComputer
"CN=something.RW,OU=Test,OU=Groups,DC=contoso,DC=com",group,something.RW,something.RW,-2147483646,something.RW
"CN=SP01-Somthing,OU=Test,OU=Groups,DC=contoso,DC=com",group,SP01-Somthing,SP01-Somthing,-2147483646,SP01-Somthing
"CN=Blah.R,OU=Test,OU=Groups,DC=contoso,DC=com",group,Blah.R,Blah.R,-2147483646,Blah.R
"CN=BogusMailGroup,OU=Test,OU=Groups,DC=contoso,DC=com",group,BogusMailGroup,BogusMailGroup,-2147483646,BogusMailGroup
"CN=OtherBogusMailGroup,OU=Test,OU=Groups,DC=contoso,DC=com",group,OtherBogusMailGroup,OtherBogusMailGroup,-2147483646,OtherBogusMailGroup
"CN=fileshare.rw,OU=Test,OU=Groups,DC=contoso,DC=com",group,fileshare.rw,fileshare.rw,-2147483646,fileshare.rw
"CN=fileshare-ro,OU=Test,OU=Groups,DC=contoso,DC=com",group,fileshare-ro,fileshare-ro,-2147483646,fileshare-ro
"CN=fileshare-ro-fn,OU=Test,OU=Groups,DC=contoso,DC=com",group,fileshare-ro-fn,fileshare-ro-fn,-2147483646,fileshare-ro-fn
"CN=fileshare r,OU=Test,OU=Groups,DC=contoso,DC=com",group,fileshare r,fileshare r,-2147483646,fileshare r
"CN=APP.testcn,OU=Test,OU=Groups,DC=contoso,DC=com",group,APP.testcn,APP.testcn,-2147483646,APP.testcn
"CN=FSPDEMOGrOUPS,OU=Groups,DC=contoso,DC=com",group,FSPDEMOGrOUPS,FSPDEMOGrOUPS,-2147483646,FSPDEMOGrOUPS
"CN=FSPDemo1,OU=FSPDEMOGROUP,OU=Groups,DC=contoso,DC=com",group,FSPDemo1,FSPDemo1,-2147483646,FSPDemo1
"CN=FSPDEMO2,OU=FSPDEMOGROUP,OU=Groups,DC=contoso,DC=com",group,FSPDEMO2,FSPDEMO2,-2147483644,FSPDEMO2
"CN=FSPDEMO3,OU=FSPDEMOGROUP,OU=Groups,DC=contoso,DC=com",group,FSPDEMO3,FSPDEMO3,-2147483644,FSPDEMO3
"CN=FSPDEMO4,OU=FSPDEMOGROUP,OU=Groups,DC=contoso,DC=com",group,FSPDEMO4,FSPDEMO4,-2147483644,FSPDEMO4
"CN=FSPDEMO5,OU=FSPDEMOGROUP,OU=Groups,DC=contoso,DC=com",group,FSPDEMO5,FSPDEMO5,-2147483644,FSPDEMO5
"CN=FSPDEMO6,OU=FSPDEMOGROUP,OU=Groups,DC=contoso,DC=com",group,FSPDEMO6,FSPDEMO6,-2147483644,FSPDEMO6
"CN=SQLServer2005SQLBrowserUser$DC1,CN=Users,DC=contoso,DC=com",group,SQLServer2005SQLBrowserUser$DC1,SQLServer2005SQLBrowserUser$DC1,-2147483644,
"CN=Moscow-Employees,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Moscow-Employees,Moscow-Employees,-2147483646,MoscowStaff
"CN=Charolette-Admins,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Charolette-Admins,Charolette-Admins,-2147483646,CharoletteAdmins
"CN=Charolette-Employees,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Charolette-Employees,Charolette-Employees,-2147483646,CharoletteStaff
"CN=Dallas-Admins,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Dallas-Admins,Dallas-Admins,-2147483646,DallasAdmins
"CN=Dallas-Employees,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Dallas-Employees,Dallas-Employees,-2147483646,DallasStaff
"CN=Denver-Admins,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Denver-Admins,Denver-Admins,-2147483646,DenverAdmins
"CN=Denver-Employees,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Denver-Employees,Denver-Employees,-2147483646,DenverStaff
"CN=London-Admins,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,London-Admins,London-Admins,-2147483646,LondonAdmins
